,status,model,n_factors,n_epochs,lr_all,reg_all,result
0,True,0,20,40,0.002,0.02,"{'test_rmse': array([0.82698865, 0.82710163, 0.82761772]), 'fit_time': (62.63742256164551, 63.696000814437866, 59.8464674949646), 'test_time': (22.44208812713623, 19.024856090545654, 20.779456615447998)}"
1,True,1,20,40,0.002,0.05,"{'test_rmse': array([0.84614291, 0.84641573, 0.84516456]), 'fit_time': (58.52957320213318, 60.06369709968567, 60.506346464157104), 'test_time': (19.88369393348694, 21.0020534992218, 20.594136238098145)}"
2,True,2,20,40,0.002,0.1,"{'test_rmse': array([0.86266058, 0.86360086, 0.8644274 ]), 'fit_time': (59.67581295967102, 61.19071292877197, 61.68822360038757), 'test_time': (19.288057327270508, 21.56846857070923, 20.842135667800903)}"
3,True,3,20,40,0.005,0.02,"{'test_rmse': array([0.81181783, 0.81059157, 0.81094739]), 'fit_time': (60.55637001991272, 60.77848982810974, 61.19528532028198), 'test_time': (21.06644582748413, 18.874861240386963, 21.88813042640686)}"
4,True,4,20,40,0.005,0.05,"{'test_rmse': array([0.8096889 , 0.81077046, 0.80955915]), 'fit_time': (63.75854301452637, 63.37324142456055, 63.749876976013184), 'test_time': (22.203242301940918, 19.881894826889038, 21.770369291305542)}"
5,True,5,20,40,0.005,0.1,"{'test_rmse': array([0.84307   , 0.8439716 , 0.84385657]), 'fit_time': (61.851752042770386, 61.583624601364136, 64.28012919425964), 'test_time': (26.455559253692627, 19.48140287399292, 24.032872438430786)}"
6,True,6,20,40,0.007,0.02,"{'test_rmse': array([0.81621521, 0.81445716, 0.81610071]), 'fit_time': (61.949185609817505, 60.549103021621704, 60.48735523223877), 'test_time': (21.207945346832275, 19.092205286026, 20.656375646591187)}"
7,True,7,20,40,0.007,0.05,"{'test_rmse': array([0.80400954, 0.80506649, 0.80491792]), 'fit_time': (58.645437240600586, 59.714844942092896, 61.33095574378967), 'test_time': (21.91203474998474, 19.323800802230835, 19.798523902893066)}"
8,True,8,20,40,0.007,0.1,"{'test_rmse': array([0.837134  , 0.83563218, 0.83747796]), 'fit_time': (61.18833661079407, 62.88831090927124, 62.27362561225891), 'test_time': (22.187406063079834, 19.592602252960205, 21.16150689125061)}"
9,True,9,20,60,0.002,0.02,"{'test_rmse': array([0.81269871, 0.81384719, 0.81212483]), 'fit_time': (89.6143491268158, 88.21316933631897, 88.15708041191101), 'test_time': (20.958460092544556, 20.752005100250244, 18.846073865890503)}"
